User,Event Type,Date,Start Time,End Time
user1,Training,2023-05-01,16:00:00,19:00:00
user1,Presentation,2023-05-01,11:00:00,13:00:00
user1,Training,2023-05-01,11:00:00,14:00:00
user1,Meeting,2023-05-01,12:00:00,13:00:00
user1,Meeting,2023-05-01,15:00:00,18:00:00
user2,Presentation,2023-05-01,12:00:00,13:00:00
user2,Presentation,2023-05-01,15:00:00,16:00:00
user2,Presentation,2023-05-01,15:00:00,18:00:00
user2,Meeting,2023-05-01,10:00:00,13:00:00
user2,Meeting,2023-05-01,16:00:00,17:00:00
user3,Lunch,2023-05-01,12:00:00,13:00:00
user3,Presentation,2023-05-01,10:00:00,11:00:00
user3,Appointment,2023-05-01,11:00:00,14:00:00
user3,Appointment,2023-05-01,09:00:00,11:00:00
user3,Meeting,2023-05-01,09:00:00,11:00:00
user4,Training,2023-05-01,10:00:00,13:00:00
user4,Appointment,2023-05-01,09:00:00,12:00:00
user4,Training,2023-05-01,15:00:00,18:00:00
user4,Appointment,2023-05-01,15:00:00,18:00:00
user4,Training,2023-05-01,15:00:00,18:00:00
user5,Appointment,2023-05-01,09:00:00,11:00:00
user5,Appointment,2023-05-01,16:00:00,19:00:00
user5,Lunch,2023-05-01,15:00:00,17:00:00
user5,Training,2023-05-01,14:00:00,16:00:00
user5,Lunch,2023-05-01,16:00:00,19:00:00
user6,Lunch,2023-05-01,14:00:00,17:00:00
user6,Presentation,2023-05-01,09:00:00,10:00:00
user6,Meeting,2023-05-01,11:00:00,12:00:00
user6,Lunch,2023-05-01,10:00:00,12:00:00
user6,Presentation,2023-05-01,13:00:00,15:00:00
user7,Presentation,2023-05-01,10:00:00,13:00:00
user7,Meeting,2023-05-01,09:00:00,12:00:00
user7,Training,2023-05-01,13:00:00,16:00:00
user7,Presentation,2023-05-01,10:00:00,12:00:00
user7,Meeting,2023-05-01,15:00:00,16:00:00
user8,Presentation,2023-05-01,11:00:00,14:00:00
user8,Training,2023-05-01,13:00:00,16:00:00
user8,Lunch,2023-05-01,16:00:00,17:00:00
user8,Meeting,2023-05-01,10:00:00,11:00:00
user8,Appointment,2023-05-01,12:00:00,14:00:00
user9,Presentation,2023-05-01,11:00:00,14:00:00
user9,Lunch,2023-05-01,12:00:00,13:00:00
user9,Lunch,2023-05-01,13:00:00,15:00:00
user9,Appointment,2023-05-01,09:00:00,10:00:00
user9,Lunch,2023-05-01,10:00:00,13:00:00
user10,Appointment,2023-05-01,10:00:00,13:00:00
user10,Appointment,2023-05-01,13:00:00,16:00:00
user10,Lunch,2023-05-01,14:00:00,17:00:00
user10,Presentation,2023-05-01,16:00:00,17:00:00
user10,Presentation,2023-05-01,12:00:00,14:00:00
user11,Appointment,2023-05-01,09:00:00,12:00:00
user11,Presentation,2023-05-01,09:00:00,11:00:00
user11,Lunch,2023-05-01,12:00:00,14:00:00
user11,Lunch,2023-05-01,09:00:00,10:00:00
user11,Appointment,2023-05-01,12:00:00,15:00:00
user12,Lunch,2023-05-01,15:00:00,18:00:00
